Age,Experience,Salary,Purchased
60,38,19625,No
35,12,8042,Yes
54,32,17504,No
22,0,2595,Yes
34,8,6716,Yes
55,32,17633,No
34,9,7153,No
20,0,3214,No
41,17,10309,Yes
41,19,11144,No
26,2,4267,No
58,34,18626,Yes
49,23,12977,No
25,0,2800,No
56,33,18071,Yes
22,0,2733,No
25,2,4287,Yes
44,20,11964,No
30,6,5563,Yes
37,10,7959,Yes
58,31,16625,Yes
30,5,5138,No
60,33,17920,Yes
40,18,10834,Yes
40,15,9524,Yes
33,7,6547,No
33,6,5711,No
49,26,14471,Yes
35,8,6674,No
57,32,17819,No
43,20,11641,No
25,3,4731,Yes
29,2,3563,No
58,36,19094,No
58,33,17891,No
55,33,18046,Yes
54,30,16787,No
27,3,4295,Yes
49,27,15626,No
52,29,16069,Yes
60,36,19561,Yes
29,5,5530,Yes
54,28,16040,Yes
58,34,18300,Yes
27,3,4749,No
35,13,8596,Yes
25,0,2997,Yes
54,31,16581,No
55,32,17171,No
33,7,6423,Yes
